"folio_recepcion","descripcion","inicio_carga"
"2024491186",NO IMAGENES CON API,2024-05-02 05:15:30.758
"2024491724",NO IMAGENES CON API,2024-05-02 05:15:30.777
"2024489999",NO IMAGENES CON API,2024-05-02 05:15:30.798
"2024489957",NO IMAGENES CON API,2024-05-02 05:45:27.670
"2024486220",NO IMAGENES CON API,2024-05-02 05:45:29.132
"2024486258",NO IMAGENES CON API,2024-05-02 05:45:29.157
"2024486288",NO IMAGENES CON API,2024-05-02 05:45:29.183
"2024486018",NO IMAGENES CON API,2024-05-02 05:45:29.213
"2024486318",NO IMAGENES CON API,2024-05-02 05:45:29.240
"2024486296",NO IMAGENES CON API,2024-05-02 05:45:29.269
"2024486368",NO IMAGENES CON API,2024-05-02 05:45:29.287
"2024486164",NO IMAGENES CON API,2024-05-02 05:45:29.306
"2024486295",NO IMAGENES CON API,2024-05-02 05:45:29.326
"2024486043",NO IMAGENES CON API,2024-05-02 05:45:29.363
"2024486106",NO IMAGENES CON API,2024-05-02 05:45:29.384
"2024486367",NO IMAGENES CON API,2024-05-02 05:45:29.416
"2024486091",NO IMAGENES CON API,2024-05-02 05:45:29.438
"2024486294",NO IMAGENES CON API,2024-05-02 05:45:29.455
"2024486017",NO IMAGENES CON API,2024-05-02 05:45:29.474
"2024486231",NO IMAGENES CON API,2024-05-02 05:45:29.498
"2024486329",NO IMAGENES CON API,2024-05-02 05:45:29.518
"2024486247",NO IMAGENES CON API,2024-05-02 05:45:29.541
"2024486063",NO IMAGENES CON API,2024-05-02 05:45:29.560
"2024486116",NO IMAGENES CON API,2024-05-02 05:45:29.592
"2024486322",NO IMAGENES CON API,2024-05-02 05:45:29.617
"2024486020",NO IMAGENES CON API,2024-05-02 05:45:29.637
"2024486290",NO IMAGENES CON API,2024-05-02 05:45:29.655
"2024486205",NO IMAGENES CON API,2024-05-02 05:45:29.675
"2024486112",NO IMAGENES CON API,2024-05-02 05:45:29.696
"2024486387",NO IMAGENES CON API,2024-05-02 05:45:29.714
"2024486366",NO IMAGENES CON API,2024-05-02 05:45:29.734
"2024486243",NO IMAGENES CON API,2024-05-02 05:45:29.758
"2024486373",NO IMAGENES CON API,2024-05-02 05:45:29.780
"2024486056",NO IMAGENES CON API,2024-05-02 05:45:29.799
"2024486045",NO IMAGENES CON API,2024-05-02 05:45:29.818
"2024486180",NO IMAGENES CON API,2024-05-02 05:45:29.840
"2024486137",NO IMAGENES CON API,2024-05-02 05:45:29.867
"2024486114",NO IMAGENES CON API,2024-05-02 05:45:29.890
"2024486255",NO IMAGENES CON API,2024-05-02 05:45:29.909
"2024486160",NO IMAGENES CON API,2024-05-02 05:45:29.931
"2024491501",NO PROCESADO MEDIPASS,2024-05-02 05:45:29.952
"2024491763",NO PROCESADO MEDIPASS,2024-05-02 05:45:29.970
"2024499026",NO PROCESADO MEDIPASS,2024-05-02 05:45:29.990
"2024491305",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.092
"2024491336",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.117
"2024489416",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.138
"2024491278",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.166
"2024491747",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.196
"2024489852",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.217
"2024491316",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.251
"2024491332",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.283
"2024491781",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.305
"2024498979",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.331
"2024491288",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.354
"2024491226",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.420
"2024491220",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.447
"2024489182",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.478
"2024491338",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.507
"2024499044",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.528
"2024489195",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.550
"2024489418",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.571
"2024499455",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.589
"2024491218",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.608
"2024489190",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.629
"2024499028",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.648
"2024489850",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.668
"2024491333",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.690
"2024499424",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.710
"2024489411",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.728
"2024489781",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.747
"2024491990",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.767
"2024489405",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.791
"2024499004",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.811
"2024489778",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.829
"2024489648",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.847
"2024491306",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.866
"2024491206",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.885
"2024499256",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.904
"2024499033",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.927
"2024499453",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.946
"2024489859",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.969
"2024494630",NO PROCESADO MEDIPASS,2024-05-02 05:45:30.988
"2024491513",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.077
"2024499003",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.102
"2024491530",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.124
"2024499045",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.145
"2024499428",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.169
"2024491323",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.192
"2024499232",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.214
"2024498992",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.233
"2024491494",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.264
"2024498987",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.285
"2024499420",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.307
"2024491230",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.326
"2024491318",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.344
"2024499240",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.362
"2024491750",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.384
"2024489412",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.405
"2024489618",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.426
"2024499433",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.445
"2024489642",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.465
"2024489858",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.488
"2024491294",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.508
"2024498982",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.528
"2024499046",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.546
"2024499007",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.570
"2024491214",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.589
"2024491204",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.610
"2024491985",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.630
"2024489620",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.655
"2024489202",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.674
"2024489766",NO PROCESADO MEDIPASS,2024-05-02 05:45:31.693
"2024486096",NO IMAGENES CON API,2024-05-02 06:15:27.916
"2024486023",NO IMAGENES CON API,2024-05-02 06:15:29.381
"2024491209",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.407
"2024499425",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.443
"2024498990",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.471
"2024489206",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.523
"2024489634",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.545
"2024489209",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.565
"2024491752",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.586
"2024489400",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.608
"2024491988",NO PROCESADO MEDIPASS,2024-05-02 06:15:29.630
"2024494416",NO PROCESADO MEDIPASS,2024-05-02 11:15:27.293
"2024494472",NO PROCESADO MEDIPASS,2024-05-02 11:15:28.889
"2024498139",NO PROCESADO MEDIPASS,2024-05-02 11:15:28.908
"2024494441",NO PROCESADO MEDIPASS,2024-05-02 11:45:27.088
"2024497157",NO PROCESADO MEDIPASS,2024-05-02 11:45:28.370
"2024497591",NO PROCESADO MEDIPASS,2024-05-02 12:15:27.106
"2024497991",NO PROCESADO MEDIPASS,2024-05-02 12:15:28.326
"2024494634",NO PROCESADO MEDIPASS,2024-05-02 12:15:28.352
"2024494467",NO PROCESADO MEDIPASS,2024-05-02 12:15:28.376
"2024494984",NO PROCESADO MEDIPASS,2024-05-02 13:15:26.811
"2024498129",NO PROCESADO MEDIPASS,2024-05-02 13:15:28.257
"2024494989",NO PROCESADO MEDIPASS,2024-05-02 13:15:28.290
"2024494523",,2024-05-02 13:30:27.262
"2024494487",,2024-05-02 13:30:28.618
"2024494256",,2024-05-02 13:30:28.852
"2024494715",,2024-05-02 13:30:29.353
"2024494390",,2024-05-02 13:30:45.602
"2024492656",COTIZ < LIQ DE SUELDO,2024-05-02 13:30:50.379
"2024497215",,2024-05-02 13:30:52.690
"2024497200",,2024-05-02 13:31:01.704
"2024494262",,2024-05-02 13:31:01.805
"2024494754",,2024-05-02 13:31:01.915
"2024494795",,2024-05-02 13:45:27.277
"2024494854",,2024-05-02 13:45:28.616
"2024494246",,2024-05-02 13:45:45.755
"2024494502",,2024-05-02 13:45:46.101
"2024494824",,2024-05-02 13:45:56.790
"2024494850",,2024-05-02 13:45:57.068
"2024498112",,2024-05-02 13:45:57.208
"2024494702",COTIZ < LIQ DE SUELDO,2024-05-02 13:45:57.270
"2024494282",COTIZ < LIQ DE SUELDO,2024-05-02 13:45:57.601
"2024497322",COTIZ < LIQ DE SUELDO,2024-05-02 13:46:03.834
"2024497133",,2024-05-02 13:46:03.989
"2024494679",,2024-05-02 13:46:05.127
"2024494321",,2024-05-02 13:46:05.249
"2024497195",NO HAY IMAGENES PARA DESCARGAR,2024-05-02 13:46:05.513
"2024494384",,2024-05-02 13:46:05.541
"2024494335",,2024-05-02 13:46:05.732
"2024494319",,2024-05-02 13:46:12.649
"2024494393",,2024-05-02 13:46:12.974
"2024494640",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.111
"2024494624",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.137
"2024494980",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.167
"2024494412",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.195
"2024494436",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.230
"2024498292",NO PROCESADO MEDIPASS,2024-05-02 13:46:13.267
"2024494986",NO PROCESADO MEDIPASS,2024-05-02 14:15:27.384
"2024494619",NO PROCESADO MEDIPASS,2024-05-02 14:15:28.697
"2024494991",NO PROCESADO MEDIPASS,2024-05-02 14:15:28.715
"2024498032",,2024-05-02 14:45:26.911
"2024494366",FALTA COTIZ. SALUD,2024-05-02 14:45:47.812
"2024497239",,2024-05-02 14:45:48.099
"2024494669",,2024-05-02 14:45:56.135
"2024497233",,2024-05-02 14:46:00.942
"2024497798",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.782
"2024497802",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.812
"2024498447",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.840
"2024494653",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.875
"2024494490",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.904
"2024498120",NO PROCESADO MEDIPASS,2024-05-02 14:46:05.985
"2024494791",NO PROCESADO MEDIPASS,2024-05-02 15:15:27.981
"2024497309",NO PROCESADO MEDIPASS,2024-05-02 15:15:29.943
"2024497779",NO PROCESADO MEDIPASS,2024-05-02 15:45:27.571
"2024494414",NO PROCESADO MEDIPASS,2024-05-02 15:45:28.803
"2024495599",,2024-05-02 16:00:27.657
"2024498638",,2024-05-02 16:00:38.679
"2024498353",,2024-05-02 16:00:38.758
"2024498186",,2024-05-02 16:00:38.887
"2024498317",,2024-05-02 16:00:48.988
"2024497500",,2024-05-02 16:00:53.250
"2024498191",COTIZ < LIQ DE SUELDO,2024-05-02 16:00:53.414
"2024498515",COTIZ < LIQ DE SUELDO,2024-05-02 16:00:54.617
"2024498527",,2024-05-02 16:00:56.843
"2024494834",,2024-05-02 16:00:59.803
"2024498044",FALTA COTIZ. SALUD,2024-05-02 16:01:08.058
"2024494556",COTIZ < LIQ DE SUELDO,2024-05-02 16:01:13.268
"2024497150",,2024-05-02 16:01:16.246
"2024494257",,2024-05-02 16:01:18.138
"2024498049",FALTA COTIZ. SALUD,2024-05-02 16:01:18.186
"2024497352",,2024-05-02 16:01:20.503
"2024497276",,2024-05-02 16:01:25.193
"2024494688",RENTA = TOPE,2024-05-02 16:01:27.962
"2024497149",,2024-05-02 16:01:29.124
"2024494709",,2024-05-02 16:01:39.500
"2024497076",,2024-05-02 16:01:45.371
"2024494952",,2024-05-02 16:01:52.783
"2024494876",,2024-05-02 16:01:54.770
"2024494553",,2024-05-02 16:01:55.866
"2024498080",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:00.587
"2024003294",FALTA COTIZ. SALUD,2024-05-02 16:02:03.499
"2024003294",NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-05-02 16:02:03.499
"2024467083",FALTA COTIZ. SALUD,2024-05-02 16:02:03.549
"2024154572",FALTA COTIZ. SALUD,2024-05-02 16:02:08.154
"2024094082",FALTA COTIZ. SALUD,2024-05-02 16:02:11.372
"2024075018",FALTA COTIZ. SALUD,2024-05-02 16:02:11.415
"2024497252",,2024-05-02 16:02:12.665
"2024494867",,2024-05-02 16:02:14.542
"2024494749",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:16.456
"2024494203",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:22.099
"2024494203",FALTA COTIZ. SALUD,2024-05-02 16:02:22.099
"2024499135",,2024-05-02 16:02:28.805
"2024489747",,2024-05-02 16:02:28.845
"2024491183",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:35.418
"2024491374",,2024-05-02 16:02:38.183
"2024491806",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:38.272
"2024491942",,2024-05-02 16:02:39.333
"2024491559",,2024-05-02 16:02:39.368
"2024491390",RENTA = TOPE,2024-05-02 16:02:39.457
"2024489329",,2024-05-02 16:02:44.192
"2024491155",,2024-05-02 16:02:44.230
"2024491708",,2024-05-02 16:02:47.266
"2024491160",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:47.440
"2024489309",,2024-05-02 16:02:50.458
"2024489816",,2024-05-02 16:02:53.208
"2024491430",,2024-05-02 16:02:54.327
"2024491973",COTIZ < LIQ DE SUELDO,2024-05-02 16:02:54.497
"2024497047",,2024-05-02 16:02:57.796
"2024491890",,2024-05-02 16:03:09.834
"2024489163",COTIZ < LIQ DE SUELDO,2024-05-02 16:03:11.757
"2024489377",,2024-05-02 16:15:27.398
"2024489946",COTIZ < LIQ DE SUELDO,2024-05-02 16:15:55.949
"2024489126",,2024-05-02 16:16:08.251
"2024499295",,2024-05-02 16:16:08.291
"2024491682",FALTA COTIZ. SALUD,2024-05-02 16:16:08.362
"2024489067",,2024-05-02 16:16:08.473
"2024075015",FALTA COTIZ. SALUD,2024-05-02 16:16:10.896
"2024491471",,2024-05-02 16:16:11.205
"2024489733",,2024-05-02 16:16:12.446
"2024489015",,2024-05-02 16:16:13.421
"2024498945",,2024-05-02 16:16:14.456
"2024491567",RENTA = TOPE,2024-05-02 16:16:25.434
"2024489298",,2024-05-02 16:16:37.672
"2024491925",,2024-05-02 16:16:59.108
"2024467084",,2024-05-02 16:17:03.770
"2024499094",,2024-05-02 16:17:03.963
"2024086009",,2024-05-02 16:17:10.693
"2024494977",NO PROCESADO MEDIPASS,2024-05-02 16:17:11.855
"2024498135",NO PROCESADO MEDIPASS,2024-05-02 16:17:11.877
"2024494717",,2024-05-02 16:30:27.392
"2024494540",,2024-05-02 16:30:28.998
"2024494220",,2024-05-02 16:30:29.117
"2024494899",FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-05-02 16:30:36.610
"2024494899",FALTA COTIZ. SALUD,2024-05-02 16:30:36.610
"2024494829",,2024-05-02 16:30:47.600
"2024494277",,2024-05-02 16:30:49.375
"2024497337",COTIZ < LIQ DE SUELDO,2024-05-02 16:30:50.439
"2024494897",,2024-05-02 16:30:53.670
"2024494504",,2024-05-02 16:30:55.253
"2024489139",,2024-05-02 16:31:19.551
"2024491603",,2024-05-02 16:31:20.539
"2024489386",,2024-05-02 16:31:25.328
"2024498810",,2024-05-02 16:31:35.495
"2024491841",,2024-05-02 16:31:41.117
"2024491406",,2024-05-02 16:31:41.173
"2024491082",,2024-05-02 16:31:44.870
"2024494927",,2024-05-02 16:31:46.080
"2024489045",COTIZ < LIQ DE SUELDO,2024-05-02 16:31:47.163
"2024491614",COTIZ < LIQ DE SUELDO,2024-05-02 16:32:02.118
"2024499268",,2024-05-02 16:32:05.114
