"folio_recepcion","descripcion","fecha_recepcion"
"2024203515",COTIZ < LIQ DE SUELDO,2024-05-27
"2024229136",COTIZ < LIQ DE SUELDO,2024-05-24
"2024212992",COTIZ < LIQ DE SUELDO,2024-05-23
"2024218904",COTIZ < LIQ DE SUELDO,2024-05-20
"2024227455",COTIZ < LIQ DE SUELDO,2024-05-20
"2024229268",COTIZ < LIQ DE SUELDO,2024-05-27
"2024483554",NO PROCESADO MEDIPASS,2024-05-06
"2024229420",RENTA = TOPE,2024-05-27
"2024227589",COTIZ < LIQ DE SUELDO,2024-05-20
"2024224817",COTIZ < LIQ DE SUELDO,2024-05-20
"2024222416",COTIZ < LIQ DE SUELDO,2024-05-22
"2024227091",COTIZ < LIQ DE SUELDO,2024-05-20
"2024069095",FALTA COTIZ. SALUD,2024-05-17
"2024209562",COTIZ < LIQ DE SUELDO,2024-05-22
"2024209802",COTIZ < LIQ DE SUELDO,2024-05-23
"2024209377",FALTA COTIZ. SALUD,2024-05-22
"2024212667",COTIZ < LIQ DE SUELDO,2024-05-23
"2024222926",COTIZ < LIQ DE SUELDO,2024-05-22
"2024488003",NO PROCESADO MEDIPASS,2024-05-03
"2024216266",RENTA = TOPE,2024-05-28
"2024486258",NO IMAGENES CON API,2024-04-30
"2024202682",NO PROCESADO MEDIPASS,2024-05-27
"2024225587",COTIZ < LIQ DE SUELDO,2024-05-23
"2024203635",COTIZ < LIQ DE SUELDO,2024-05-28
"2024216202",COTIZ < LIQ DE SUELDO,2024-05-28
"2024216202",RENTA = TOPE,2024-05-28
"2024159082",FALTA COTIZ. SALUD,2024-05-28
"2024225646",COTIZ < LIQ DE SUELDO,2024-05-23
"2024219210",COTIZ < LIQ DE SUELDO,2024-05-28
"2024212898",COTIZ < LIQ DE SUELDO,2024-05-23
"2024225955",COTIZ < LIQ DE SUELDO,2024-05-23
"2024219133",FALTA COTIZ. SALUD,2024-05-28
"2024203758",FALTA COTIZ. SALUD,2024-05-28
"2024203861",RENTA = TOPE,2024-05-28
"2024216073",COTIZ < LIQ DE SUELDO,2024-05-28
"2024216131",FALTA COTIZ. SALUD,2024-05-28
"2024219084",COTIZ < LIQ DE SUELDO,2024-05-28
"2024493882",NO PROCESADO MEDIPASS,2024-05-08
"2024216411",COTIZ < LIQ DE SUELDO,2024-05-28
"2024228135",FALTA COTIZ. SALUD,2024-05-24
"2024204273",NO IMAGENES CON API,2024-05-09
"2024203616",COTIZ < LIQ DE SUELDO,2024-05-28
"2024219448",COTIZ < LIQ DE SUELDO,2024-05-28
"2024203623",COTIZ < LIQ DE SUELDO,2024-05-28
"2024491493",NO PROCESADO MEDIPASS,2024-04-30
"2024228939",COTIZ < LIQ DE SUELDO,2024-05-24
"2024205655",NO IMAGENES CON API,2024-05-13
"2024227793",FALTA COTIZ. SALUD,2024-05-24
"2024227793",COTIZ < LIQ DE SUELDO,2024-05-24
"2024219087",COTIZ < LIQ DE SUELDO,2024-05-28
"2024203016",FALTA COTIZ. SALUD,2024-05-27
"2024212116",NO HAY IMAGENES PARA DESCARGAR,2024-05-23
"2024224603",NO PROCESADO MEDIPASS,2024-05-17
"2024212771",NO IMAGENES CON API,2024-05-23
"2024229225",FALTA COTIZ. SALUD,2024-05-27
"2024229225",COTIZ < LIQ DE SUELDO,2024-05-27
"2024212695",FALTA COTIZ. SALUD,2024-05-23
"2024216257",COTIZ < LIQ DE SUELDO,2024-05-28
"2024228773",COTIZ < LIQ DE SUELDO,2024-05-24
"2024225559",FALTA COTIZ. SALUD,2024-05-23
"2024227198",NO PROCESADO MEDIPASS,2024-05-20
"2024228608",COTIZ < LIQ DE SUELDO,2024-05-24
"2024030015",FALTA COTIZ. SALUD,2024-05-28
"2024219129",COTIZ < LIQ DE SUELDO,2024-05-28
"2024212208",RENTA = TOPE,2024-05-23
"2024225938",NO IMAGENES CON API,2024-05-23
"2024203378",COTIZ < LIQ DE SUELDO,2024-05-27
"2024489501",COTIZ < LIQ DE SUELDO,2024-04-29
"2024216358",NO PROCESADO MEDIPASS,2024-05-28
"2024211717",NO IMAGENES CON API,2024-05-15
"2024487764",NO PROCESADO MEDIPASS,2024-05-03
"2024486606",NO PROCESADO MEDIPASS,2024-05-02
"2024212609",NO PROCESADO MEDIPASS,2024-05-23
"2024489611",NO PROCESADO MEDIPASS,2024-04-29
"2024212799",NO IMAGENES CON API,2024-05-23
"2024229116",NO IMAGENES CON API,2024-05-24
"2024207956",NO IMAGENES CON API,2024-05-10
"2024219216",COTIZ < LIQ DE SUELDO,2024-05-28
"2024483729",NO PROCESADO MEDIPASS,2024-05-06
"2024486620",NO PROCESADO MEDIPASS,2024-05-02
"2024219293",COTIZ < LIQ DE SUELDO,2024-05-28
"2024219138",COTIZ < LIQ DE SUELDO,2024-05-28
"2024219247",COTIZ < LIQ DE SUELDO,2024-05-28
"2024216296",COTIZ < LIQ DE SUELDO,2024-05-28
"2024219553",COTIZ < LIQ DE SUELDO,2024-05-28
"2024203759",COTIZ < LIQ DE SUELDO,2024-05-28
"2024488304",NO IMAGENES CON API,2024-05-03
"2024483162",NO PROCESADO MEDIPASS,2024-05-06
"2024203783",COTIZ < LIQ DE SUELDO,2024-05-28
"2024203783",RENTA = TOPE,2024-05-28
"2024203602",COTIZ < LIQ DE SUELDO,2024-05-28
"2024219017",COTIZ < LIQ DE SUELDO,2024-05-28
"2024228394",COTIZ < LIQ DE SUELDO,2024-05-24
"2024216082",COTIZ < LIQ DE SUELDO,2024-05-28
"2024204335",NO PROCESADO MEDIPASS,2024-05-09
"2024217127",NO PROCESADO MEDIPASS,2024-05-29
"2024487063",NO IMAGENES CON API,2024-05-02
"2024491083",COTIZ < LIQ DE SUELDO,2024-04-29
"2024207326",NO PROCESADO MEDIPASS,2024-05-10
"2024499236",NO PROCESADO MEDIPASS,2024-04-29
"2024208748",NO PROCESADO MEDIPASS,2024-05-14
"2024205452",NO PROCESADO MEDIPASS,2024-05-13
"2024211041",NO IMAGENES CON API,2024-05-14
"2024485097",NO IMAGENES CON API,2024-05-07
"2024490885",NO PROCESADO MEDIPASS,2024-05-06
"2024202135",NO PROCESADO MEDIPASS,2024-05-27
"2024490419",NO PROCESADO MEDIPASS,2024-05-02
"2024212423",COTIZ < LIQ DE SUELDO,2024-05-23
"2024225585",NO HAY IMAGENES PARA DESCARGAR,2024-05-23
"2024228109",NO HAY IMAGENES PARA DESCARGAR,2024-05-24
"2024228517",COTIZ < LIQ DE SUELDO,2024-05-24
"2024489756",NO PROCESADO MEDIPASS,2024-04-29
"2024225219",NO PROCESADO MEDIPASS,2024-05-22
"2024499916",NO PROCESADO MEDIPASS,2024-05-20
"2024489209",NO PROCESADO MEDIPASS,2024-04-29
"2024202099",NO PROCESADO MEDIPASS,2024-05-27
"2024499508",NO IMAGENES CON API,2024-05-07
"2024208989",NO PROCESADO MEDIPASS,2024-05-14
"2024224320",NO PROCESADO MEDIPASS,2024-05-17
"2024211434",NO PROCESADO MEDIPASS,2024-05-15
"2024490621",NO PROCESADO MEDIPASS,2024-05-06
"2024486354",NO IMAGENES CON API,2024-04-30
"2024204342",NO IMAGENES CON API,2024-05-09
"2024485157",NO IMAGENES CON API,2024-05-07
"2024496307",NO PROCESADO MEDIPASS,2024-05-09
"2024210757",NO PROCESADO MEDIPASS,2024-05-14
"2024207251",NO PROCESADO MEDIPASS,2024-05-10
"2024208493",NO IMAGENES CON API,2024-05-14
"2024202074",NO PROCESADO MEDIPASS,2024-05-27
"2024225812",NO IMAGENES CON API,2024-05-23
"2024201468",NO PROCESADO MEDIPASS,2024-05-16
"2024044015",FALTA COTIZ. SALUD,2024-05-28
"2024203514",COTIZ < LIQ DE SUELDO,2024-05-27
"2024212144",COTIZ < LIQ DE SUELDO,2024-05-23
"2024499589",NO PROCESADO MEDIPASS,2024-05-14
"2024225624",NO IMAGENES CON API,2024-05-23
"2024211109",NO IMAGENES CON API,2024-05-14
"2024491763",NO PROCESADO MEDIPASS,2024-04-30
"2024218450",NO IMAGENES CON API,2024-05-17
"2024209350",NO IMAGENES CON API,2024-05-22
"2024224402",NO PROCESADO MEDIPASS,2024-05-17
"2024496693",NO PROCESADO MEDIPASS,2024-05-09
"2024229076",NO IMAGENES CON API,2024-05-24
"2024205716",NO IMAGENES CON API,2024-05-13
"2024491217",NO PROCESADO MEDIPASS,2024-04-29
"2024222669",NO PROCESADO MEDIPASS,2024-05-22
"2024490868",NO PROCESADO MEDIPASS,2024-05-06
"2024201946",NO IMAGENES CON API,2024-05-16
"2024201218",NO PROCESADO MEDIPASS,2024-05-15
"2024499809",NO PROCESADO MEDIPASS,2024-05-15
"2024486020",NO IMAGENES CON API,2024-04-30
"2024205816",NO IMAGENES CON API,2024-05-13
"2024043044",FALTA COTIZ. SALUD,2024-05-28
"2024204700",NO IMAGENES CON API,2024-05-09
"2024208021",NO IMAGENES CON API,2024-05-13
"2024486772",NO PROCESADO MEDIPASS,2024-05-02
"2024205743",NO IMAGENES CON API,2024-05-13
"2024228908",NO IMAGENES CON API,2024-05-24
"2024210529",NO PROCESADO MEDIPASS,2024-05-13
"2024488629",NO PROCESADO MEDIPASS,2024-05-03
"2024212505",NO IMAGENES CON API,2024-05-23
"2024202254",NO PROCESADO MEDIPASS,2024-05-27
"2024202134",NO PROCESADO MEDIPASS,2024-05-27
"2024200597",NO PROCESADO MEDIPASS,2024-05-16
"2024201465",NO PROCESADO MEDIPASS,2024-05-16
"2024491768",NO PROCESADO MEDIPASS,2024-04-30
"2024217766",NO IMAGENES CON API,2024-05-29
"2024218581",NO IMAGENES CON API,2024-05-17
"2024201842",NO PROCESADO MEDIPASS,2024-05-16
"2024496815",NO PROCESADO MEDIPASS,2024-05-14
"2024201494",NO IMAGENES CON API,2024-05-16
"2024217561",NO IMAGENES CON API,2024-05-29
"2024207310",NO PROCESADO MEDIPASS,2024-05-10
"2024486579",NO PROCESADO MEDIPASS,2024-05-02
"2024489857",NO IMAGENES CON API,2024-04-29
"2024227541",NO PROCESADO MEDIPASS,2024-05-20
"2024499938",NO PROCESADO MEDIPASS,2024-05-20
"2024204004",NO IMAGENES CON API,2024-05-09
"2024211474",NO PROCESADO MEDIPASS,2024-05-15
"2024228027",NO PROCESADO MEDIPASS,2024-05-24
"2024204177",NO PROCESADO MEDIPASS,2024-05-09
"2024487853",NO PROCESADO MEDIPASS,2024-05-03
"2024205851",NO IMAGENES CON API,2024-05-13
"2024224004",NO IMAGENES CON API,2024-05-16
"2024218537",NO IMAGENES CON API,2024-05-17
"2024490617",NO IMAGENES CON API,2024-05-06
"2024225433",NO IMAGENES CON API,2024-05-22
"2024200608",NO PROCESADO MEDIPASS,2024-05-16
"2024222648",NO PROCESADO MEDIPASS,2024-05-22
"2024205259",NO PROCESADO MEDIPASS,2024-05-13
"2024208454",NO PROCESADO MEDIPASS,2024-05-14
"2024203360",NO PROCESADO MEDIPASS,2024-05-27
"2024218208",NO PROCESADO MEDIPASS,2024-05-17
"2024499252",NO PROCESADO MEDIPASS,2024-04-30
"2024490606",NO IMAGENES CON API,2024-05-06
"2024209437",NO PROCESADO MEDIPASS,2024-05-22
"2024484735",NO PROCESADO MEDIPASS,2024-05-07
"2024204784",NO IMAGENES CON API,2024-05-09
"2024496484",NO PROCESADO MEDIPASS,2024-05-09
"2024202718",NO PROCESADO MEDIPASS,2024-05-27
"2024225516",NO IMAGENES CON API,2024-05-23
"2024484820",NO IMAGENES CON API,2024-05-07
"2024204645",NO IMAGENES CON API,2024-05-09
"2024487447",NO IMAGENES CON API,2024-05-02
"2024218630",NO IMAGENES CON API,2024-05-17
"2024493871",NO PROCESADO MEDIPASS,2024-05-08
"2024202127",NO PROCESADO MEDIPASS,2024-05-27
"2024222190",NO PROCESADO MEDIPASS,2024-05-20
"2024202208",NO PROCESADO MEDIPASS,2024-05-27
"2024207095",NO PROCESADO MEDIPASS,2024-05-10
"2024212262",NO PROCESADO MEDIPASS,2024-05-23
"2024211074",NO IMAGENES CON API,2024-05-14
"2024201826",NO IMAGENES CON API,2024-05-16
"2024228909",NO IMAGENES CON API,2024-05-24
"2024497591",NO PROCESADO MEDIPASS,2024-04-26
"2024201915",NO PROCESADO MEDIPASS,2024-05-16
"2024202037",NO PROCESADO MEDIPASS,2024-05-27
"2024216905",NO PROCESADO MEDIPASS,2024-05-29
"2024212426",NO IMAGENES CON API,2024-05-23
"2024212633",NO IMAGENES CON API,2024-05-23
"2024212980",NO IMAGENES CON API,2024-05-23
"2024204654",FALTA COTIZ. SALUD,2024-05-09
"2024204654",COTIZ < LIQ DE SUELDO,2024-05-09
"2024219011",NO PROCESADO MEDIPASS,2024-05-27
"2024208487",NO PROCESADO MEDIPASS,2024-05-14
"2024212732",NO IMAGENES CON API,2024-05-23
"2024205257",NO PROCESADO MEDIPASS,2024-05-13
"2024210081",NO PROCESADO MEDIPASS,2024-05-10
"2024485787",NO PROCESADO MEDIPASS,2024-05-08
"2024204675",NO IMAGENES CON API,2024-05-09
"2024204554",NO IMAGENES CON API,2024-05-09
"2024496317",NO PROCESADO MEDIPASS,2024-05-09
"2024225196",NO PROCESADO MEDIPASS,2024-05-22
"2024219682",NO IMAGENES CON API,2024-05-29
"2024499881",NO PROCESADO MEDIPASS,2024-05-20
"2024219167",NO PROCESADO MEDIPASS,2024-05-28
"2024486304",NO IMAGENES CON API,2024-04-30
"2024228814",NO IMAGENES CON API,2024-05-24
"2024491348",NO PROCESADO MEDIPASS,2024-04-30
"2024491318",NO PROCESADO MEDIPASS,2024-04-30
"2024499482",NO IMAGENES CON API,2024-05-07
"2024212696",NO IMAGENES CON API,2024-05-23
"2024201834",NO PROCESADO MEDIPASS,2024-05-16
"2024489418",NO PROCESADO MEDIPASS,2024-04-29
"2024225616",NO IMAGENES CON API,2024-05-23
"2024228770",NO IMAGENES CON API,2024-05-24
"2024219176",NO PROCESADO MEDIPASS,2024-05-28
"2024222655",NO PROCESADO MEDIPASS,2024-05-22
"2024225677",NO IMAGENES CON API,2024-05-23
"2024489621",NO PROCESADO MEDIPASS,2024-04-29
"2024204318",NO PROCESADO MEDIPASS,2024-05-09
"2024210951",NO PROCESADO MEDIPASS,2024-05-14
"2024209591",RENTA = TOPE,2024-05-22
"2024487818",NO PROCESADO MEDIPASS,2024-05-03
"2024485336",NO IMAGENES CON API,2024-05-07
"2024498129",NO PROCESADO MEDIPASS,2024-04-25
"2024211119",NO IMAGENES CON API,2024-05-14
"2024486577",NO PROCESADO MEDIPASS,2024-05-02
"2024201968",NO IMAGENES CON API,2024-05-16
"2024222932",COTIZ < LIQ DE SUELDO,2024-05-22
"2024499565",NO PROCESADO MEDIPASS,2024-05-14
"2024211105",NO IMAGENES CON API,2024-05-14
"2024212716",NO IMAGENES CON API,2024-05-23
"2024202007",NO PROCESADO MEDIPASS,2024-05-27
"2024493257",NO PROCESADO MEDIPASS,2024-05-08
"2024497779",NO PROCESADO MEDIPASS,2024-04-26
"2024219166",NO PROCESADO MEDIPASS,2024-05-28
"2024212033",NO PROCESADO MEDIPASS,2024-05-23
"2024201594",NO PROCESADO MEDIPASS,2024-05-16
"2024499479",NO PROCESADO MEDIPASS,2024-05-07
"2024207327",NO PROCESADO MEDIPASS,2024-05-10
"2024219178",NO PROCESADO MEDIPASS,2024-05-28
"2024485124",NO IMAGENES CON API,2024-05-07
"2024485209",NO PROCESADO MEDIPASS,2024-05-07
"2024225413",NO PROCESADO MEDIPASS,2024-05-22
"2024228990",NO PROCESADO MEDIPASS,2024-05-24
"2024485973",NO PROCESADO MEDIPASS,2024-05-08
"2024496850",NO PROCESADO MEDIPASS,2024-05-14
"2024209214",NO PROCESADO MEDIPASS,2024-05-22
"2024003223",NO HAY IMAGENES PARA DESCARGAR,2024-05-09
"2024089252",NO HAY IMAGENES PARA DESCARGAR,2024-05-10
"2024496333",NO PROCESADO MEDIPASS,2024-05-09
"2024227151",NO PROCESADO MEDIPASS,2024-05-20
"2024490811",NO PROCESADO MEDIPASS,2024-05-06
"2024209372",NO IMAGENES CON API,2024-05-22
"2024488424",NO PROCESADO MEDIPASS,2024-05-03
"2024490604",NO IMAGENES CON API,2024-05-06
"2024204399",NO PROCESADO MEDIPASS,2024-05-09
"2024205883",NO IMAGENES CON API,2024-05-13
"2024212600",NO PROCESADO MEDIPASS,2024-05-23
"2024491928",NO IMAGENES CON API,2024-04-30
"2024205919",NO IMAGENES CON API,2024-05-13
"2024224420",NO PROCESADO MEDIPASS,2024-05-17
"2024212589",NO PROCESADO MEDIPASS,2024-05-23
"2024499637",NO PROCESADO MEDIPASS,2024-05-15
"2024212814",NO IMAGENES CON API,2024-05-23
"2024498447",NO PROCESADO MEDIPASS,2024-04-26
"2024499612",NO PROCESADO MEDIPASS,2024-05-14
"2024201003",NO PROCESADO MEDIPASS,2024-05-15
"2024216994",NO IMAGENES CON API,2024-05-29
"2024013072",FALTA COTIZ. SALUD,2024-04-30
"2024203152",NO PROCESADO MEDIPASS,2024-05-27
"2024487589",RENTA = TOPE,2024-05-03
"2024222651",NO PROCESADO MEDIPASS,2024-05-22
"2024228083",NO PROCESADO MEDIPASS,2024-05-24
"2024202233",NO PROCESADO MEDIPASS,2024-05-27
"2024224323",NO PROCESADO MEDIPASS,2024-05-17
"2024222690",NO PROCESADO MEDIPASS,2024-05-22
"2024204446",NO PROCESADO MEDIPASS,2024-05-09
"2024486593",NO PROCESADO MEDIPASS,2024-05-02
"2024222628",NO PROCESADO MEDIPASS,2024-05-22
"2024225420",NO PROCESADO MEDIPASS,2024-05-22
"2024205691",NO IMAGENES CON API,2024-05-13
"2024490100",NO HAY IMAGENES PARA DESCARGAR,2024-05-02
"2024204049",NO IMAGENES CON API,2024-05-09
"2024218454",NO IMAGENES CON API,2024-05-17
"2024225924",NO IMAGENES CON API,2024-05-23
"2024496316",NO PROCESADO MEDIPASS,2024-05-09
"2024200076",NO PROCESADO MEDIPASS,2024-05-15
"2024228261",NO PROCESADO MEDIPASS,2024-05-24
"2024201954",NO IMAGENES CON API,2024-05-16
"2024218013",NO PROCESADO MEDIPASS,2024-05-17
"2024228973",NO PROCESADO MEDIPASS,2024-05-24
"2024499497",NO PROCESADO MEDIPASS,2024-05-07
"2024491306",NO PROCESADO MEDIPASS,2024-04-30
"2024209988",NO IMAGENES CON API,2024-05-23
"2024203913",NO PROCESADO MEDIPASS,2024-05-28
"2024205491",NO PROCESADO MEDIPASS,2024-05-13
"2024497302",NO PROCESADO MEDIPASS,2024-04-25
"2024202050",NO PROCESADO MEDIPASS,2024-05-27
"2024207266",NO PROCESADO MEDIPASS,2024-05-10
"2024499570",NO PROCESADO MEDIPASS,2024-05-14
"2024207313",NO PROCESADO MEDIPASS,2024-05-10
"2024488020",NO PROCESADO MEDIPASS,2024-05-03
"2024222191",NO PROCESADO MEDIPASS,2024-05-20
"2024201221",NO PROCESADO MEDIPASS,2024-05-15
"2024201207",NO PROCESADO MEDIPASS,2024-05-15
"2024201018",NO PROCESADO MEDIPASS,2024-05-15
"2024202172",NO PROCESADO MEDIPASS,2024-05-27
"2024208473",NO PROCESADO MEDIPASS,2024-05-14
"2024201454",NO PROCESADO MEDIPASS,2024-05-16
"2024483357",NO PROCESADO MEDIPASS,2024-05-06
"2024218649",NO IMAGENES CON API,2024-05-17
"2024487343",NO IMAGENES CON API,2024-05-02
"2024208532",NO PROCESADO MEDIPASS,2024-05-14
"2024212933",NO IMAGENES CON API,2024-05-23
"2024499622",NO PROCESADO MEDIPASS,2024-05-14
"2024209599",NO IMAGENES CON API,2024-05-22
"2024216827",NO PROCESADO MEDIPASS,2024-05-29
"2024499033",NO PROCESADO MEDIPASS,2024-04-29
"2024208087",NO PROCESADO MEDIPASS,2024-05-13
"2024491988",NO PROCESADO MEDIPASS,2024-04-30
"2024484459",NO PROCESADO MEDIPASS,2024-05-07
"2024222657",NO PROCESADO MEDIPASS,2024-05-22
"2024217594",NO IMAGENES CON API,2024-05-29
"2024225644",NO IMAGENES CON API,2024-05-23
"2024229133",NO IMAGENES CON API,2024-05-24
"2024202122",NO PROCESADO MEDIPASS,2024-05-27
"2024224428",NO PROCESADO MEDIPASS,2024-05-17
"2024204385",NO PROCESADO MEDIPASS,2024-05-09
"2024201215",NO PROCESADO MEDIPASS,2024-05-15
"2024487810",NO PROCESADO MEDIPASS,2024-05-03
"2024488212",NO PROCESADO MEDIPASS,2024-05-03
"2024486622",NO PROCESADO MEDIPASS,2024-05-02
"2024207991",NO PROCESADO MEDIPASS,2024-05-10
"2024489165",COTIZ < LIQ DE SUELDO,2024-04-29
"2024202916",NO PROCESADO MEDIPASS,2024-05-27
"2024210965",NO PROCESADO MEDIPASS,2024-05-14
"2024485296",NO IMAGENES CON API,2024-05-07
"2024225711",NO IMAGENES CON API,2024-05-23
"2024207047",NO PROCESADO MEDIPASS,2024-05-10
"2024205594",NO IMAGENES CON API,2024-05-13
"2024496818",NO PROCESADO MEDIPASS,2024-05-14
"2024210457",NO PROCESADO MEDIPASS,2024-05-13
"2024204402",NO PROCESADO MEDIPASS,2024-05-09
"2024218679",NO IMAGENES CON API,2024-05-17
"2024201824",NO IMAGENES CON API,2024-05-16
"2024484244",NO PROCESADO MEDIPASS,2024-05-07
"2024499805",NO PROCESADO MEDIPASS,2024-05-15
"2024202105",NO PROCESADO MEDIPASS,2024-05-27
"2024487787",NO PROCESADO MEDIPASS,2024-05-03
"2024202200",NO PROCESADO MEDIPASS,2024-05-27
"2024225789",NO IMAGENES CON API,2024-05-23
"2024486776",NO PROCESADO MEDIPASS,2024-05-02
"2024200600",NO PROCESADO MEDIPASS,2024-05-16
"2024210002",NO PROCESADO MEDIPASS,2024-05-10
"2024217285",NO IMAGENES CON API,2024-05-29
"2024484921",NO IMAGENES CON API,2024-05-07
"2024212075",NO PROCESADO MEDIPASS,2024-05-23
"2024225423",NO PROCESADO MEDIPASS,2024-05-22
"2024224331",NO PROCESADO MEDIPASS,2024-05-17
"2024207255",NO PROCESADO MEDIPASS,2024-05-10
"2024210441",NO PROCESADO MEDIPASS,2024-05-13
"2024218695",NO IMAGENES CON API,2024-05-17
"2024499883",NO PROCESADO MEDIPASS,2024-05-20
"2024201198",NO PROCESADO MEDIPASS,2024-05-15
"2024227182",NO PROCESADO MEDIPASS,2024-05-20
"2024200485",NO PROCESADO MEDIPASS,2024-05-16
"2024204225",NO IMAGENES CON API,2024-05-09
"2024204430",NO PROCESADO MEDIPASS,2024-05-09
"2024208613",NO IMAGENES CON API,2024-05-14
"2024487048",NO IMAGENES CON API,2024-05-02
"2024488641",NO PROCESADO MEDIPASS,2024-05-03
"2024486318",NO IMAGENES CON API,2024-04-30
"2024205836",NO IMAGENES CON API,2024-05-13
"2024204552",NO IMAGENES CON API,2024-05-09
"2024494441",NO PROCESADO MEDIPASS,2024-04-25
"2024493605",NO PROCESADO MEDIPASS,2024-05-08
"2024211067",NO IMAGENES CON API,2024-05-14
"2024200099",NO PROCESADO MEDIPASS,2024-05-15
"2024494991",NO PROCESADO MEDIPASS,2024-04-25
"2024218543",NO IMAGENES CON API,2024-05-17
"2024486387",NO IMAGENES CON API,2024-04-30
"2024208047",NO IMAGENES CON API,2024-05-13
"2024484452",NO PROCESADO MEDIPASS,2024-05-07
"2024490805",NO PROCESADO MEDIPASS,2024-05-06
"2024209156",NO IMAGENES CON API,2024-05-22
"2024207092",NO PROCESADO MEDIPASS,2024-05-10
"2024202138",NO PROCESADO MEDIPASS,2024-05-27
"2024211620",NO PROCESADO MEDIPASS,2024-05-15
"2024209195",NO PROCESADO MEDIPASS,2024-05-22
"2024205980",NO IMAGENES CON API,2024-05-13
"2024486211",NO PROCESADO MEDIPASS,2024-04-30
"2024485820",NO PROCESADO MEDIPASS,2024-05-08
"2024217973",NO IMAGENES CON API,2024-05-29
"2024490424",NO PROCESADO MEDIPASS,2024-05-02
