"descripcion","fecha","cuenta"
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-03-11,1
NO HAY IMAGENES PARA DESCARGAR,2024-03-11,8
RENTA = TOPE,2024-03-11,10
NO IMAGENES CON API,2024-03-11,43
NO PROCESADO MEDIPASS,2024-03-11,131
FALTA COTIZ. SALUD,2024-03-11,46
FALTA COTIZ. SALUD,2024-03-10,2
NO PROCESADO MEDIPASS,2024-03-10,6
COTIZ < LIQ DE SUELDO,2024-03-10,2
NO PROCESADO MEDIPASS,2024-03-09,1
NO HAY IMAGENES PARA DESCARGAR,2024-03-08,9
COTIZ < LIQ DE SUELDO,2024-03-08,66
NO PROCESADO MEDIPASS,2024-03-08,116
RENTA = TOPE,2024-03-08,10
FALTA COTIZ. SALUD,2024-03-08,34
NO HAY IMAGENES PARA DESCARGAR,2024-03-07,6
FALTA COTIZ. SALUD,2024-03-07,37
NO IMAGENES CON API,2024-03-07,3
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-03-07,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-07,1
NO PROCESADO MEDIPASS,2024-03-07,113
COTIZ < LIQ DE SUELDO,2024-03-07,60
RENTA = TOPE,2024-03-07,4
NO HAY IMAGENES PARA DESCARGAR,2024-03-06,6
RENTA = TOPE,2024-03-06,7
FALTA COTIZ. SALUD,2024-03-06,26
NO IMAGENES CON API,2024-03-06,88
COTIZ < LIQ DE SUELDO,2024-03-06,57
NO PROCESADO MEDIPASS,2024-03-06,106
FALTA COTIZ. SALUD,2024-03-05,28
NO HAY IMAGENES PARA DESCARGAR,2024-03-05,7
COTIZ < LIQ DE SUELDO,2024-03-05,69
NO PROCESADO MEDIPASS,2024-03-05,104
RENTA = TOPE,2024-03-05,9
NO HAY IMAGENES PARA DESCARGAR,2024-03-04,6
COTIZ < LIQ DE SUELDO,2024-03-04,48
FALTA COTIZ. SALUD,2024-03-04,18
RENTA = TOPE,2024-03-04,11
NO PROCESADO MEDIPASS,2024-03-04,77
NO IMAGENES CON API,2024-03-04,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-03-04,1
NO PROCESADO MEDIPASS,2024-03-03,1
RENTA = TOPE,2024-03-01,13
COTIZ < LIQ DE SUELDO,2024-03-01,106
NO IMAGENES CON API,2024-03-01,45
FALTA COTIZ. SALUD,2024-03-01,17
NO PROCESADO MEDIPASS,2024-03-01,95
NO HAY IMAGENES PARA DESCARGAR,2024-03-01,6
NO PROCESADO MEDIPASS,2024-02-29,45
NO HAY IMAGENES PARA DESCARGAR,2024-02-29,3
FALTA COTIZ. SALUD,2024-02-29,6
RENTA = TOPE,2024-02-29,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-29,1
COTIZ < LIQ DE SUELDO,2024-02-29,35
NO IMAGENES CON API,2024-02-28,1
NO PROCESADO MEDIPASS,2024-02-28,82
FALTA COTIZ. SALUD,2024-02-28,10
RENTA = TOPE,2024-02-28,12
NO HAY IMAGENES PARA DESCARGAR,2024-02-28,38
COTIZ < LIQ DE SUELDO,2024-02-28,61
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-27,1
NO PROCESADO MEDIPASS,2024-02-27,90
NO SE ENCUENTRA CODIGO AFP,2024-02-27,1
RENTA = TOPE,2024-02-27,8
FALTA COTIZ. SALUD,2024-02-27,7
NO HAY IMAGENES PARA DESCARGAR,2024-02-27,4
COTIZ < LIQ DE SUELDO,2024-02-27,83
NO IMAGENES CON API,2024-02-27,2
RENTA = TOPE,2024-02-26,15
NO IMAGENES CON API,2024-02-26,1
NO HAY IMAGENES PARA DESCARGAR,2024-02-26,7
COTIZ < LIQ DE SUELDO,2024-02-26,55
NO PROCESADO MEDIPASS,2024-02-26,104
FALTA COTIZ. SALUD,2024-02-26,11
NO HAY IMAGENES PARA DESCARGAR,2024-02-23,6
FALTA COTIZ. SALUD,2024-02-23,10
COTIZ < LIQ DE SUELDO,2024-02-23,53
NO PROCESADO MEDIPASS,2024-02-23,73
NO IMAGENES CON API,2024-02-23,2
RENTA = TOPE,2024-02-23,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-22,1
NO PROCESADO MEDIPASS,2024-02-22,98
RENTA = TOPE,2024-02-22,8
NO IMAGENES CON API,2024-02-22,4
NO HAY IMAGENES PARA DESCARGAR,2024-02-22,4
COTIZ < LIQ DE SUELDO,2024-02-22,64
FALTA COTIZ. SALUD,2024-02-22,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-21,2
COTIZ < LIQ DE SUELDO,2024-02-21,74
NO IMAGENES CON API,2024-02-21,5
FALTA COTIZ. SALUD,2024-02-21,8
NO HAY IMAGENES PARA DESCARGAR,2024-02-21,4
NO PROCESADO MEDIPASS,2024-02-21,98
RENTA = TOPE,2024-02-21,9
COTIZ < LIQ DE SUELDO,2024-02-20,70
NO PROCESADO MEDIPASS,2024-02-20,105
RENTA = TOPE,2024-02-20,14
FALTA COTIZ. SALUD,2024-02-20,17
NO IMAGENES CON API,2024-02-20,2
NO HAY IMAGENES PARA DESCARGAR,2024-02-20,5
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-20,2
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-02-20,1
RENTA = TOPE,2024-02-19,10
COTIZ < LIQ DE SUELDO,2024-02-19,63
NO IMAGENES CON API,2024-02-19,33
NO HAY IMAGENES PARA DESCARGAR,2024-02-19,16
NO PROCESADO MEDIPASS,2024-02-19,95
FALTA COTIZ. SALUD,2024-02-19,15
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-16,1
NO HAY IMAGENES PARA DESCARGAR,2024-02-16,3
NO PROCESADO MEDIPASS,2024-02-16,103
COTIZ < LIQ DE SUELDO,2024-02-16,47
RENTA = TOPE,2024-02-16,11
FALTA COTIZ. SALUD,2024-02-16,13
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-02-16,1
RENTA = TOPE,2024-02-15,9
COTIZ < LIQ DE SUELDO,2024-02-15,42
FALTA COTIZ. SALUD,2024-02-15,19
NO HAY IMAGENES PARA DESCARGAR,2024-02-15,1
NO IMAGENES CON API,2024-02-15,8
NO PROCESADO MEDIPASS,2024-02-15,88
NO PROCESADO MEDIPASS,2024-02-14,110
FALTA COTIZ. SALUD,2024-02-14,19
COTIZ < LIQ DE SUELDO,2024-02-14,72
RENTA = TOPE,2024-02-14,15
NO HAY IMAGENES PARA DESCARGAR,2024-02-14,5
NO IMAGENES CON API,2024-02-14,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-13,1
NO PROCESADO MEDIPASS,2024-02-13,117
NO IMAGENES CON API,2024-02-13,1
COTIZ < LIQ DE SUELDO,2024-02-13,75
NO DERECHO A PAGO SUBSIDIO,2024-02-13,1
FALTA COTIZ. SALUD,2024-02-13,46
RENTA = TOPE,2024-02-13,11
NO HAY IMAGENES PARA DESCARGAR,2024-02-13,4
NO HAY IMAGENES PARA DESCARGAR,2024-02-12,8
RENTA = TOPE,2024-02-12,12
NO PROCESADO MEDIPASS,2024-02-12,87
NO IMAGENES CON API,2024-02-12,89
FALTA COTIZ. SALUD,2024-02-12,32
COTIZ < LIQ DE SUELDO,2024-02-12,43
NO PROCESADO MEDIPASS,2024-02-11,7
FALTA COTIZ. SALUD,2024-02-11,4
COTIZ < LIQ DE SUELDO,2024-02-11,4
RENTA = TOPE,2024-02-09,14
COTIZ < LIQ DE SUELDO,2024-02-09,44
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-09,1
NO HAY IMAGENES PARA DESCARGAR,2024-02-09,1
NO PROCESADO MEDIPASS,2024-02-09,83
NO IMAGENES CON API,2024-02-09,1
FALTA COTIZ. SALUD,2024-02-09,33
NO HAY IMAGENES PARA DESCARGAR,2024-02-08,6
NO PROCESADO MEDIPASS,2024-02-08,101
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-08,2
RENTA = TOPE,2024-02-08,12
FALTA COTIZ. SALUD,2024-02-08,26
COTIZ < LIQ DE SUELDO,2024-02-08,51
FALTA COTIZ. SALUD,2024-02-07,22
RENTA = TOPE,2024-02-07,5
COTIZ < LIQ DE SUELDO,2024-02-07,38
NO PROCESADO MEDIPASS,2024-02-07,79
NO HAY IMAGENES PARA DESCARGAR,2024-02-07,5
NO PROCESADO MEDIPASS,2024-02-06,98
RENTA = TOPE,2024-02-06,14
NO HAY IMAGENES PARA DESCARGAR,2024-02-06,6
FALTA COTIZ. SALUD,2024-02-06,22
COTIZ < LIQ DE SUELDO,2024-02-06,46
COTIZ < LIQ DE SUELDO,2024-02-05,51
NO PROCESADO MEDIPASS,2024-02-05,115
RENTA = TOPE,2024-02-05,10
FALTA COTIZ. SALUD,2024-02-05,15
NO IMAGENES CON API,2024-02-05,9
NO HAY IMAGENES PARA DESCARGAR,2024-02-05,5
NO PROCESADO MEDIPASS,2024-02-04,4
COTIZ < LIQ DE SUELDO,2024-02-04,9
RENTA = TOPE,2024-02-04,1
FALTA COTIZ. SALUD,2024-02-02,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-02,1
COTIZ < LIQ DE SUELDO,2024-02-02,46
NO IMAGENES CON API,2024-02-02,2
RENTA = TOPE,2024-02-02,4
NO SE ENCUENTRA CODIGO AFP,2024-02-02,1
NO PROCESADO MEDIPASS,2024-02-02,65
NO HAY IMAGENES PARA DESCARGAR,2024-02-02,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-02-01,2
NO PROCESADO MEDIPASS,2024-02-01,116
NO IMAGENES CON API,2024-02-01,48
FALTA COTIZ. SALUD,2024-02-01,14
NO HAY IMAGENES PARA DESCARGAR,2024-02-01,10
COTIZ < LIQ DE SUELDO,2024-02-01,81
RENTA = TOPE,2024-02-01,12
NO SE ENCUENTRA CODIGO AFP,2024-01-31,1
NO IMAGENES CON API,2024-01-31,1
RENTA = TOPE,2024-01-31,4
FALTA COTIZ. SALUD,2024-01-31,5
COTIZ < LIQ DE SUELDO,2024-01-31,23
NO PROCESADO MEDIPASS,2024-01-31,45
NO HAY IMAGENES PARA DESCARGAR,2024-01-31,4
COTIZ < LIQ DE SUELDO,2024-01-30,60
NO SE ENCUENTRA CODIGO AFP,2024-01-30,1
NO PROCESADO MEDIPASS,2024-01-30,93
NO IMAGENES CON API,2024-01-30,2
NO HAY IMAGENES PARA DESCARGAR,2024-01-30,6
RENTA = TOPE,2024-01-30,6
FALTA COTIZ. SALUD,2024-01-30,8
NO IMAGENES CON API,2024-01-29,4
NO PROCESADO MEDIPASS,2024-01-29,86
NO HAY IMAGENES PARA DESCARGAR,2024-01-29,3
RENTA = TOPE,2024-01-29,15
NO SE ENCUENTRA CODIGO AFP,2024-01-29,1
COTIZ < LIQ DE SUELDO,2024-01-29,45
FALTA COTIZ. SALUD,2024-01-29,7
NO SE ENCUENTRA CODIGO AFP,2024-01-26,1
RENTA = TOPE,2024-01-26,4
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-01-26,1
FALTA COTIZ. SALUD,2024-01-26,12
NO HAY IMAGENES PARA DESCARGAR,2024-01-26,8
NO PROCESADO MEDIPASS,2024-01-26,82
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-26,3
COTIZ < LIQ DE SUELDO,2024-01-26,69
NO HAY IMAGENES PARA DESCARGAR,2024-01-25,10
NO PROCESADO MEDIPASS,2024-01-25,91
NO IMAGENES CON API,2024-01-25,3
COTIZ < LIQ DE SUELDO,2024-01-25,85
RENTA = TOPE,2024-01-25,4
FALTA COTIZ. SALUD,2024-01-25,17
NO SE ENCUENTRA CODIGO AFP,2024-01-25,1
COTIZ < LIQ DE SUELDO,2024-01-24,67
FALTA COTIZ. SALUD,2024-01-24,10
NO HAY IMAGENES PARA DESCARGAR,2024-01-24,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-24,2
NO SE ENCUENTRA CODIGO AFP,2024-01-24,1
NO PROCESADO MEDIPASS,2024-01-24,97
NO IMAGENES CON API,2024-01-24,1
RENTA = TOPE,2024-01-24,7
FALTA COTIZ. SALUD,2024-01-23,12
COTIZ < LIQ DE SUELDO,2024-01-23,60
RENTA = TOPE,2024-01-23,1
NO IMAGENES CON API,2024-01-23,52
NO PROCESADO MEDIPASS,2024-01-23,96
NO HAY IMAGENES PARA DESCARGAR,2024-01-23,3
NO SE ENCUENTRA CODIGO AFP,2024-01-22,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-22,2
NO PROCESADO MEDIPASS,2024-01-22,90
NO HAY IMAGENES PARA DESCARGAR,2024-01-22,8
FALTA COTIZ. SALUD,2024-01-22,14
RENTA = TOPE,2024-01-22,2
NO IMAGENES CON API,2024-01-22,18
COTIZ < LIQ DE SUELDO,2024-01-22,52
NO PROCESADO MEDIPASS,2024-01-21,10
COTIZ < LIQ DE SUELDO,2024-01-21,2
NO PROCESADO MEDIPASS,2024-01-20,2
FALTA COTIZ. SALUD,2024-01-19,13
NO HAY IMAGENES PARA DESCARGAR,2024-01-19,10
NO SE ENCUENTRA CODIGO AFP,2024-01-19,1
RENTA = TOPE,2024-01-19,5
COTIZ < LIQ DE SUELDO,2024-01-19,72
NO PROCESADO MEDIPASS,2024-01-19,102
RENTA = TOPE,2024-01-18,5
NO PROCESADO MEDIPASS,2024-01-18,130
FALTA COTIZ. SALUD,2024-01-18,22
COTIZ < LIQ DE SUELDO,2024-01-18,94
NO IMAGENES CON API,2024-01-18,3
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-18,1
NO HAY IMAGENES PARA DESCARGAR,2024-01-18,9
RENTA = TOPE,2024-01-17,7
NO PROCESADO MEDIPASS,2024-01-17,78
FALTA COTIZ. SALUD,2024-01-17,16
COTIZ < LIQ DE SUELDO,2024-01-17,54
NO HAY IMAGENES PARA DESCARGAR,2024-01-17,7
NO HAY IMAGENES PARA DESCARGAR,2024-01-16,8
FALTA COTIZ. SALUD,2024-01-16,14
NO IMAGENES CON API,2024-01-16,3
COTIZ < LIQ DE SUELDO,2024-01-16,87
NO PROCESADO MEDIPASS,2024-01-16,102
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-01-16,1
RENTA = TOPE,2024-01-16,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-16,1
FALTA COTIZ. SALUD,2024-01-15,32
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-15,1
NO PROCESADO MEDIPASS,2024-01-15,102
NO HAY IMAGENES PARA DESCARGAR,2024-01-15,8
RENTA = TOPE,2024-01-15,11
COTIZ < LIQ DE SUELDO,2024-01-15,80
NO PROCESADO MEDIPASS,2024-01-14,3
COTIZ < LIQ DE SUELDO,2024-01-14,1
RENTA = TOPE,2024-01-14,1
NO HAY IMAGENES PARA DESCARGAR,2024-01-13,1
NO PROCESADO MEDIPASS,2024-01-13,4
COTIZ < LIQ DE SUELDO,2024-01-13,2
FALTA COTIZ. SALUD,2024-01-12,20
NO HAY IMAGENES PARA DESCARGAR,2024-01-12,15
NO PROCESADO MEDIPASS,2024-01-12,86
RENTA = TOPE,2024-01-12,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-12,1
COTIZ < LIQ DE SUELDO,2024-01-12,33
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2024-01-11,1
COTIZ < LIQ DE SUELDO,2024-01-11,49
NO HAY IMAGENES PARA DESCARGAR,2024-01-11,5
NO PROCESADO MEDIPASS,2024-01-11,131
NO IMAGENES CON API,2024-01-11,2
RENTA = TOPE,2024-01-11,17
FALTA COTIZ. SALUD,2024-01-11,37
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-11,1
RENTA = TOPE,2024-01-10,9
FALTA COTIZ. SALUD,2024-01-10,30
NO HAY IMAGENES PARA DESCARGAR,2024-01-10,16
NO PROCESADO MEDIPASS,2024-01-10,114
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-10,1
COTIZ < LIQ DE SUELDO,2024-01-10,41
NO DERECHO A PAGO SUBSIDIO,2024-01-10,1
RENTA = TOPE,2024-01-09,20
COTIZ < LIQ DE SUELDO,2024-01-09,45
NO HAY IMAGENES PARA DESCARGAR,2024-01-09,6
NO IMAGENES CON API,2024-01-09,1
FALTA COTIZ. SALUD,2024-01-09,37
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-09,2
NO PROCESADO MEDIPASS,2024-01-09,136
NO PROCESADO MEDIPASS,2024-01-08,119
FALTA COTIZ. SALUD,2024-01-08,37
NO IMAGENES CON API,2024-01-08,1
RENTA = TOPE,2024-01-08,14
NO HAY IMAGENES PARA DESCARGAR,2024-01-08,14
COTIZ < LIQ DE SUELDO,2024-01-08,39
NO PROCESADO MEDIPASS,2024-01-07,1
RENTA = TOPE,2024-01-05,6
NO HAY IMAGENES PARA DESCARGAR,2024-01-05,4
COTIZ < LIQ DE SUELDO,2024-01-05,27
NO PROCESADO MEDIPASS,2024-01-05,88
FALTA COTIZ. SALUD,2024-01-05,21
NO IMAGENES CON API,2024-01-05,93
NO HAY IMAGENES PARA DESCARGAR,2024-01-04,19
RENTA = TOPE,2024-01-04,15
NO IMAGENES CON API,2024-01-04,34
COTIZ < LIQ DE SUELDO,2024-01-04,54
FALTA COTIZ. SALUD,2024-01-04,41
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-04,1
NO PROCESADO MEDIPASS,2024-01-04,101
NO IMAGENES CON API,2024-01-03,5
FALTA COTIZ. SALUD,2024-01-03,18
NO HAY IMAGENES PARA DESCARGAR,2024-01-03,6
COTIZ < LIQ DE SUELDO,2024-01-03,37
NO PROCESADO MEDIPASS,2024-01-03,102
RENTA = TOPE,2024-01-03,18
RENTA = TOPE,2024-01-02,22
COTIZ < LIQ DE SUELDO,2024-01-02,73
NO IMAGENES CON API,2024-01-02,52
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2024-01-02,2
NO PROCESADO MEDIPASS,2024-01-02,161
FALTA COTIZ. SALUD,2024-01-02,19
NO HAY IMAGENES PARA DESCARGAR,2024-01-02,22
FALTA COTIZ. SALUD,2024-01-01,1
COTIZ < LIQ DE SUELDO,2024-01-01,1
NO PROCESADO MEDIPASS,2023-12-31,4
RENTA = TOPE,2023-12-31,1
COTIZ < LIQ DE SUELDO,2023-12-30,1
NO PROCESADO MEDIPASS,2023-12-30,3
COTIZ < LIQ DE SUELDO,2023-12-29,19
RENTA = TOPE,2023-12-29,3
